USERID,total_actions,avg_gap,duration,unique_targets,cluster,learner_type
0,76,31498.28,2362371.0,24,1,Average
1,26,48051.72,1201293.0,14,1,Average
2,189,11933.558510638299,2243509.0,71,2,Inactive
3,6,147800.0,739000.0,5,1,Average
4,9,239.125,1913.0,7,0,Active
5,88,27791.793103448275,2417886.0,45,2,Inactive
6,30,50140.65517241379,1454079.0,11,1,Average
7,149,16881.41891891892,2498450.0,58,2,Inactive
8,9,10993.625,87949.0,6,0,Active
9,6,16734.4,83672.0,3,0,Active
10,135,18014.074626865673,2413886.0,33,2,Inactive
11,62,31321.90163934426,1910636.0,20,1,Average
12,144,15082.608391608392,2156813.0,51,2,Inactive
13,30,1223.8620689655172,35492.0,12,0,Active
14,176,13791.788571428571,2413563.0,54,2,Inactive
15,131,19304.076923076922,2509530.0,73,2,Inactive
16,56,31385.70909090909,1726214.0,29,1,Average
17,149,13693.72972972973,2026672.0,50,2,Inactive
18,77,16473.63157894737,1251996.0,47,2,Inactive
19,6,219958.8,1099794.0,6,1,Average
20,56,18807.109090909093,1034391.0,25,1,Average
21,104,20125.796116504855,2072957.0,52,2,Inactive
22,115,21962.22807017544,2503694.0,52,2,Inactive
23,181,12935.883333333333,2328459.0,56,2,Inactive
24,27,17615.923076923078,458014.0,12,0,Active
25,148,16901.380952380954,2484503.0,54,2,Inactive
26,84,28860.265060240963,2395402.0,37,2,Inactive
27,217,11457.578703703704,2474837.0,76,2,Inactive
28,45,20629.136363636364,907682.0,31,0,Active
29,15,54159.57142857143,758234.0,10,1,Average
30,32,69793.6129032258,2163602.0,14,1,Average
31,81,31466.4375,2517315.0,41,2,Inactive
32,88,26998.183908045976,2348842.0,52,2,Inactive
33,49,51943.041666666664,2493266.0,41,1,Average
34,14,7947.0,103311.0,8,0,Active
35,148,16884.21768707483,2481980.0,39,2,Inactive
36,17,19809.0,316944.0,6,0,Active
37,11,33906.8,339068.0,5,0,Active
38,95,20802.478723404256,1955433.0,45,2,Inactive
39,21,23006.4,460128.0,13,0,Active
40,11,14435.2,144352.0,6,0,Active
41,124,20146.62601626016,2478035.0,39,2,Inactive
42,5,33.75,135.0,4,0,Active
43,137,18061.08823529412,2456308.0,34,2,Inactive
44,22,116521.19047619047,2446945.0,15,1,Average
45,65,20723.0625,1326276.0,32,1,Average
46,12,241.27272727272728,2654.0,6,0,Active
47,10,40717.11111111111,366454.0,6,0,Active
48,115,14068.17543859649,1603772.0,46,2,Inactive
49,158,15732.79617834395,2470049.0,42,2,Inactive
50,62,39239.54098360656,2393612.0,36,1,Average
51,11,4013.7,40137.0,8,0,Active
52,129,18334.8828125,2346865.0,54,2,Inactive
53,56,38112.236363636366,2096173.0,28,1,Average
54,47,38329.15217391304,1763141.0,23,1,Average
55,127,18666.64285714286,2351997.0,61,2,Inactive
56,62,10700.95081967213,652758.0,21,0,Active
57,214,9905.258215962442,2109820.0,74,2,Inactive
58,52,46057.74509803922,2348945.0,23,1,Average
59,183,12018.065934065935,2187288.0,77,2,Inactive
60,172,13292.549707602338,2273026.0,60,2,Inactive
61,21,110801.75,2216035.0,14,1,Average
62,135,15659.716417910447,2098402.0,57,2,Inactive
63,27,10510.192307692309,273265.0,14,0,Active
64,215,11420.214953271028,2443926.0,66,2,Inactive
65,109,21910.99074074074,2366387.0,40,2,Inactive
66,84,23291.63855421687,1933206.0,38,2,Inactive
67,11,143378.9,1433789.0,6,1,Average
68,8,20.0,140.0,5,0,Active
69,61,40819.13333333333,2449148.0,24,1,Average
70,198,12714.918781725888,2504839.0,41,2,Inactive
71,17,363.125,5810.0,15,0,Active
72,31,49460.4,1483812.0,16,1,Average
73,126,19014.76,2376845.0,58,2,Inactive
74,101,24695.49,2469549.0,46,2,Inactive
75,130,18990.883720930233,2449824.0,56,2,Inactive
76,143,17068.415492957745,2423715.0,60,2,Inactive
77,59,20260.431034482757,1175105.0,14,1,Average
78,66,10052.861538461539,653436.0,17,0,Active
79,182,13406.116022099448,2426507.0,93,2,Inactive
80,232,10599.943722943723,2448587.0,46,2,Inactive
81,148,16815.85714285714,2471931.0,59,2,Inactive
82,167,11753.650602409638,1951106.0,76,2,Inactive
83,50,19889.85714285714,974603.0,20,0,Active
84,79,21196.98717948718,1653365.0,46,2,Inactive
85,80,24556.151898734177,1939936.0,52,2,Inactive
86,201,12363.125,2472625.0,71,2,Inactive
87,7,30.833333333333332,185.0,4,0,Active
88,84,14887.0,1235621.0,30,2,Inactive
89,111,21623.49090909091,2378584.0,32,2,Inactive
90,122,18077.644628099173,2187395.0,66,2,Inactive
91,22,5627.238095238095,118172.0,8,0,Active
